id,mag,longitude,latitude,date,Days since last eruption,vei,was_erupted,volcano_latitude,volcano_longitude
usp0005r1a,4.9,-73.33800000000001,-36.580999999999996,1993-04-11,192,,0.0,,
usp0005zpy,5.2,-72.743,-41.265,1993-09-03,337,,0.0,,
usp00063e1,4.5,-70.67,-36.389,1993-11-09,404,,0.0,,
usp00065p8,4.2,-70.03699999999999,-36.175,1993-12-26,451,,0.0,,
usp000686r,5.0,-73.568,-37.829,1994-02-08,495,,0.0,,
usp00069md,4.6,-73.305,-37.465,1994-03-12,527,,0.0,,
usp0006bse,5.6,-74.756,-39.312,1994-04-28,574,,0.0,,
usp0006c16,3.8,-69.218,-36.128,1994-05-04,580,,0.0,,
usp0006hhx,4.2,-72.616,-36.596,1994-08-26,694,,0.0,,
usp0006md0,6.0,-70.811,-39.187,1994-10-20,749,1.0,1.0,-39.42,-71.93
usp0006nt5,4.3,-72.259,-36.093,1994-11-17,28,,0.0,,
usp0006pyn,4.4,-71.82,-39.223,1994-12-12,53,,0.0,,
usp0006q8c,4.5,-74.042,-39.346,1994-12-20,61,,0.0,,
usp0006qrk,4.9,-71.03699999999999,-41.625,1995-01-02,74,,0.0,,
usp0006s06,4.4,-73.042,-37.347,1995-01-28,100,,0.0,,
usp0006t7x,4.4,-72.468,-39.736,1995-02-20,123,,0.0,,
usp0006u0q,4.3,-73.293,-36.18,1995-03-10,141,,0.0,,
usp0006u5y,5.1,-73.368,-37.913000000000004,1995-03-14,145,,0.0,,
usp0006uk7,5.5,-72.956,-36.266999999999996,1995-03-22,153,,0.0,,
usp0006um3,5.5,-72.964,-36.272,1995-03-23,154,,0.0,,
usp0006ukq,4.6,-73.855,-36.522,1995-03-23,154,,0.0,,
usp0006uwb,4.3,-73.562,-36.649,1995-03-29,160,,0.0,,
usp0006vx0,4.3,-72.918,-36.361,1995-04-19,181,1.0,1.0,-39.42,-71.93
usp0006wtv,4.4,-68.22,-37.305,1995-05-04,15,1.0,1.0,-39.42,-71.93
usp0006xbq,4.4,-74.584,-36.059,1995-05-14,10,1.0,1.0,-39.42,-71.93
usp00070eu,4.3,-71.327,-36.407,1995-07-10,57,,0.0,,
usp00070fj,3.8,-71.253,-36.977,1995-07-11,58,,0.0,,
usp00072ba,4.1,-71.529,-39.218,1995-08-24,102,,0.0,,
usp00072m5,3.9,-70.81,-36.897,1995-08-29,107,,0.0,,
usp00072xb,4.5,-72.118,-40.418,1995-09-05,114,,0.0,,
usp000742j,3.4,-71.641,-36.001999999999995,1995-09-27,136,,0.0,,
usp000750u,4.0,-73.057,-38.446,1995-10-12,151,,0.0,,
usp00076je,3.6,-70.64399999999999,-36.528,1995-11-09,179,,0.0,,
usp00076wt,4.1,-72.64,-36.672,1995-11-15,185,,0.0,,
usp00077p1,3.8,-73.206,-36.498000000000005,1995-11-28,198,,0.0,,
usp00078c0,4.8,-73.727,-36.961999999999996,1995-12-05,205,,0.0,,
usp00078zx,4.2,-72.506,-38.524,1995-12-14,214,,0.0,,
usp000795c,4.0,-70.72800000000001,-36.49,1995-12-17,217,,0.0,,
usp000794t,4.3,-72.992,-36.623000000000005,1995-12-17,217,,0.0,,
usp00079z6,4.2,-72.024,-40.6,1996-01-01,232,,0.0,,
usp0007ct0,4.6,-72.04,-36.159,1996-02-12,274,1.0,1.0,-39.42,-71.93
usp0007emc,5.4,-71.888,-42.184,1996-03-11,28,,0.0,,
usp0007fc8,3.9,-70.331,-38.757,1996-03-27,44,,0.0,,
usp0007fyy,4.4,-71.67,-36.510999999999996,1996-04-09,57,,0.0,,
usp0007gmp,4.5,-71.529,-37.31,1996-04-26,74,,0.0,,
usp0007gv0,4.8,-71.143,-36.202,1996-05-02,80,,0.0,,
